0.	-0.0892108700688579
0.0025	-0.08921233896699168
0.005	-0.08921467843183328
0.0075	-0.0892190078675633
0.01	-0.08922549575948331
0.0125	-0.08923359198168936
0.015	-0.08924340332417592
0.0175	-0.08925454395062025
0.02	-0.0892687080430098
0.0225	-0.08928392410623397
0.025	-0.08930107022418543
0.0275	-0.08932123173302159
0.03	-0.08934196988651236
0.0325	-0.08936547751777871
0.035	-0.08939176328356117
0.0375	-0.08941911457751692
0.04	-0.08944975495746345
0.0425	-0.08948147393567982
0.045	-0.08951658947897989
0.0475	-0.08955349523182636
0.05	-0.08959299531973476
0.0525	-0.08963605853588753
0.055	-0.08968082116848279
0.0575	-0.08972939255293363
0.06	-0.08977989264409636
0.0625	-0.08983364544915601
0.065	-0.0898909063094175
0.0675	-0.08995155705373195
0.07	-0.0900151284533343
0.0725	-0.09008211565025867
0.075	-0.09015333660277908
0.0775	-0.09022898270832894
0.08	-0.09030744328041328
0.0825	-0.09039085785890112
0.085	-0.09047769788843785
0.0875	-0.09056984000550354
0.09	-0.09066695988027515
0.0925	-0.09076841866747168
0.095	-0.0908754410772589
0.0975	-0.09098834154708176
0.1	-0.09110581491059819
0.1025	-0.09122999802591628
0.105	-0.0913594317017334
0.1075	-0.09149543574676114
0.11	-0.09163921471541149
0.1125	-0.09178836224791546
0.115	-0.09194533554858401
0.1175	-0.09211035846303767
0.12	-0.09228299243054248
0.1225	-0.09246434665141925
0.125	-0.09265418579421304
0.1275	-0.09285288270661793
0.13	-0.09306113312520552
0.1325	-0.09327960685635178
0.135	-0.09350882158781992
0.1375	-0.09374864239711905
0.14	-0.09399962397115867
0.1425	-0.09426324997017001
0.145	-0.09453912533369642
0.1475	-0.09482901337586008
0.15	-0.09513130603144841
0.1525	-0.09544911681881041
0.155	-0.09578306374694227
0.1575	-0.09613164025069575
0.16	-0.09649846834939116
0.1625	-0.09688325625061656
0.165	-0.09728596499450091
0.1675	-0.09770960432478679
0.17	-0.09815480724356725
0.1725	-0.09862168847944519
0.175	-0.09911167955946337
0.1775	-0.0996276340274082
0.18	-0.10016900502774448
0.1825	-0.10073916254228958
0.185	-0.10133911917269445
0.1875	-0.10197201138361664
0.19	-0.10263767172538799
0.1925	-0.10333904260742939
0.195	-0.10408010982554729
0.1975	-0.10486271585382269
0.2	-0.10568952128673013
0.2025	-0.1065655070138034
0.205	-0.10749149682401034
0.2075	-0.1084762614279825
0.21	-0.10952130849055867
0.2125	-0.11063242043958411
0.215	-0.1118147388042357
0.2175	-0.11307661160384345
0.22	-0.11442782168656819
0.2225	-0.11587454817426882
0.225	-0.11742798866338756
0.2275	-0.11910332920475246
0.23	-0.12091211867563297
0.2325	-0.1228759812996246
0.235	-0.12501258329018555
0.2375	-0.1273501665905199
0.24	-0.12992282732875898
0.2425	-0.13277505554047744
0.245	-0.13595824391298494
0.2475	-0.1395473777641276
0.25	-0.1436443680557614
0.2525	-0.14838392623082344
0.255	-0.1539939139560575
0.2575	-0.16080173567733438
0.26	-0.16941829840752679
0.2625	-0.18103349732348029
0.265	-0.19868485774768
0.2675	-0.23560116124549393
0.27	-0.2447762114543684
0.2725	-0.2058522762312368
0.275	-0.18188812154139405
0.2775	-0.16834753595246318
0.28	-0.1582972241521523
0.2825	-0.1502424226438314
0.285	-0.14349522085897443
0.2875	-0.13767339464677958
0.29	-0.13253683495168078
0.2925	-0.12793918574592883
0.295	-0.12376509301966514
0.2975	-0.11994191501426534
0.3	-0.11640814825766352
0.3025	-0.11312278468349428
0.305	-0.11005126823314358
0.3075	-0.1071655223896496
0.31	-0.10444397485927195
0.3125	-0.1018687946352281
0.315	-0.09942293099832726
0.3175	-0.09709916004017968
0.32	-0.09488396231406254
0.3225	-0.09277074187534134
0.325	-0.09075550809070157
0.3275	-0.08883320384419977
0.33	-0.08700249835088572
0.3325	-0.08526698575814716
0.335	-0.08363242274599826
0.3375	-0.08212112784369945
0.34	-0.08077994359918193
0.3425	-0.07978144519839418
0.345	-0.08262245586057368
0.3475	-0.0765005726085157
0.35	-0.07424803427921078
0.3525	-0.0723191561400167
0.355	-0.07054356338704887
0.3575	-0.06886899479092266
0.36	-0.06726866589270372
0.3625	-0.0657284931974697
0.365	-0.06424006821514673
0.3675	-0.06279692270826526
0.37	-0.06139481313360946
0.3725	-0.06002984338784925
0.375	-0.058699616213855145
0.3775	-0.0574013464589331
0.38	-0.05613343609604555
0.3825	-0.054894596455347985
0.385	-0.05368306427794092
0.3875	-0.05249734908237433
0.39	-0.0513366663940412
0.3925	-0.05019949863437912
0.395	-0.0490857958824317
0.3975	-0.047993677437105774
0.4	-0.046923208852910216
0.4025	-0.04587346209063914
0.405	-0.04484353443511564
0.4075	-0.043833228664105287
0.41	-0.04284155180355763
0.4125	-0.04186817462814937
0.415	-0.04091264004349033
0.4175	-0.03997466786921288
0.42	-0.0390530758611757
0.4225	-0.03814849045778296
0.425	-0.037259836923684134
0.4275	-0.03638705910106195
0.43	-0.035529537142841
0.4325	-0.034687269679858745
0.435	-0.03385993579592075
0.4375	-0.03304709884689198
0.44	-0.03224830749911713
0.4425	-0.03146351818392244
0.445	-0.030692680066300392
0.4475	-0.029935250684398833
0.45	-0.02919127172415227
0.4525	-0.028460050079334286
0.455	-0.027742015873159775
0.4575	-0.02703644971553991
0.46	-0.026343471884584153
0.4625	-0.025662847181269776
0.465	-0.024994584043211393
0.4675	-0.024338427403966457
0.47	-0.02369418630588975
0.4725	-0.02306144863890059
0.475	-0.022440692685995408
0.4775	-0.021831589472814272
0.48	-0.021233840524750306
